Image_path,Label
CelebA_Spoof\Data\train\98\live\055590.jpg,0
CelebA_Spoof\Data\train\98\live\068018.jpg,0
CelebA_Spoof\Data\train\98\live\107119.jpg,0
CelebA_Spoof\Data\train\98\live\116977.jpg,0
CelebA_Spoof\Data\train\98\live\121019.jpg,0
CelebA_Spoof\Data\train\98\live\180263.jpg,0
CelebA_Spoof\Data\train\98\live\183444.jpg,0
CelebA_Spoof\Data\train\98\live\207068.jpg,0
CelebA_Spoof\Data\train\98\live\213007.jpg,0
CelebA_Spoof\Data\train\98\live\224553.jpg,0
CelebA_Spoof\Data\train\98\live\230547.jpg,0
CelebA_Spoof\Data\train\98\live\272088.jpg,0
CelebA_Spoof\Data\train\98\live\286606.jpg,0
CelebA_Spoof\Data\train\98\live\297902.jpg,0
CelebA_Spoof\Data\train\98\live\315939.jpg,0
CelebA_Spoof\Data\train\98\live\339275.jpg,0
CelebA_Spoof\Data\train\98\live\397397.jpg,0
CelebA_Spoof\Data\train\98\live\398341.jpg,0
CelebA_Spoof\Data\train\98\live\400250.jpg,0
CelebA_Spoof\Data\train\98\live\400689.jpg,0
CelebA_Spoof\Data\train\98\live\425543.jpg,0
CelebA_Spoof\Data\train\98\live\427781.jpg,0
CelebA_Spoof\Data\train\98\live\433611.jpg,0
CelebA_Spoof\Data\train\98\live\460376.jpg,0
CelebA_Spoof\Data\train\98\live\484245.jpg,0
CelebA_Spoof\Data\train\9826\live\034532.jpg,0
CelebA_Spoof\Data\train\9826\live\057762.jpg,0
CelebA_Spoof\Data\train\9826\live\066179.jpg,0
CelebA_Spoof\Data\train\9826\live\077225.jpg,0
CelebA_Spoof\Data\train\9826\live\121283.jpg,0
CelebA_Spoof\Data\train\9826\live\128413.jpg,0
CelebA_Spoof\Data\train\9826\live\161166.jpg,0
CelebA_Spoof\Data\train\9826\live\167599.jpg,0
CelebA_Spoof\Data\train\9826\live\180441.jpg,0
CelebA_Spoof\Data\train\9826\live\203351.jpg,0
CelebA_Spoof\Data\train\9826\live\223587.jpg,0
CelebA_Spoof\Data\train\9826\live\248940.jpg,0
CelebA_Spoof\Data\train\9826\live\264754.jpg,0
CelebA_Spoof\Data\train\9826\live\365157.jpg,0
CelebA_Spoof\Data\train\9826\live\372064.jpg,0
CelebA_Spoof\Data\train\9826\live\381514.jpg,0
CelebA_Spoof\Data\train\9826\live\397653.jpg,0
CelebA_Spoof\Data\train\9826\live\440379.jpg,0
CelebA_Spoof\Data\train\9826\live\444521.jpg,0
CelebA_Spoof\Data\train\9826\live\458627.jpg,0
CelebA_Spoof\Data\train\9828\live\006896.jpg,0
CelebA_Spoof\Data\train\9828\live\018384.jpg,0
CelebA_Spoof\Data\train\9828\live\041428.jpg,0
CelebA_Spoof\Data\train\9828\live\060874.jpg,0
CelebA_Spoof\Data\train\9828\live\074780.jpg,0
CelebA_Spoof\Data\train\9828\live\080877.jpg,0
CelebA_Spoof\Data\train\9828\live\117418.jpg,0
CelebA_Spoof\Data\train\9828\live\138266.jpg,0
CelebA_Spoof\Data\train\9828\live\232606.jpg,0
CelebA_Spoof\Data\train\9828\live\247449.jpg,0
CelebA_Spoof\Data\train\9828\live\274193.jpg,0
CelebA_Spoof\Data\train\9828\live\331860.jpg,0
CelebA_Spoof\Data\train\9828\live\336497.jpg,0
CelebA_Spoof\Data\train\9828\live\351495.jpg,0
CelebA_Spoof\Data\train\9828\live\377556.jpg,0
CelebA_Spoof\Data\train\9828\live\382471.jpg,0
CelebA_Spoof\Data\train\9828\live\393479.jpg,0
CelebA_Spoof\Data\train\9828\live\407315.jpg,0
CelebA_Spoof\Data\train\9828\live\453649.jpg,0
CelebA_Spoof\Data\train\9828\live\477271.jpg,0
CelebA_Spoof\Data\train\9828\live\492597.jpg,0
CelebA_Spoof\Data\train\9829\live\022122.jpg,0
CelebA_Spoof\Data\train\9829\live\101979.jpg,0
CelebA_Spoof\Data\train\9829\live\126905.jpg,0
CelebA_Spoof\Data\train\9829\live\236892.jpg,0
CelebA_Spoof\Data\train\9829\live\259304.jpg,0
CelebA_Spoof\Data\train\9829\live\369810.jpg,0
CelebA_Spoof\Data\train\9829\live\399230.jpg,0
CelebA_Spoof\Data\train\9829\live\421110.jpg,0
CelebA_Spoof\Data\train\9829\live\436584.jpg,0
CelebA_Spoof\Data\train\983\live\004319.jpg,0
CelebA_Spoof\Data\train\983\live\042353.jpg,0
CelebA_Spoof\Data\train\983\live\049569.jpg,0
CelebA_Spoof\Data\train\983\live\073512.jpg,0
CelebA_Spoof\Data\train\983\live\076379.jpg,0
CelebA_Spoof\Data\train\983\live\085745.jpg,0
CelebA_Spoof\Data\train\983\live\102488.jpg,0
CelebA_Spoof\Data\train\983\live\119493.jpg,0
CelebA_Spoof\Data\train\983\live\171036.jpg,0
CelebA_Spoof\Data\train\983\live\171237.jpg,0
CelebA_Spoof\Data\train\983\live\178967.jpg,0
CelebA_Spoof\Data\train\983\live\182425.jpg,0
CelebA_Spoof\Data\train\983\live\242322.jpg,0
CelebA_Spoof\Data\train\983\live\267318.jpg,0
CelebA_Spoof\Data\train\983\live\269985.jpg,0
CelebA_Spoof\Data\train\983\live\277877.jpg,0
CelebA_Spoof\Data\train\983\live\281223.jpg,0
CelebA_Spoof\Data\train\983\live\285141.jpg,0
CelebA_Spoof\Data\train\983\live\301989.jpg,0
CelebA_Spoof\Data\train\983\live\346168.jpg,0
CelebA_Spoof\Data\train\983\live\383293.jpg,0
